2025-08-31 16:20:01,237 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-15 09:00:00_2022-07-15 16:00:00 has been selected successfully!
2025-08-31 16:20:01,238 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-15 21:00:00_2022-07-16 02:00:00 has been selected successfully!
2025-08-31 16:20:01,239 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-16 11:00:00_2022-07-16 18:00:00 has been selected successfully!
2025-08-31 16:20:01,239 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-16 19:00:00_2022-07-17 02:00:00 has been selected successfully!
2025-08-31 16:20:01,240 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-17 10:00:00_2022-07-17 16:00:00 has been selected successfully!
2025-08-31 16:20:01,241 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-17 18:00:00_2022-07-18 02:00:00 has been selected successfully!
2025-08-31 16:20:01,242 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-18 11:00:00_2022-07-19 02:00:00 has been selected successfully!
2025-08-31 16:20:01,243 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-19 09:00:00_2022-07-20 02:00:00 has been selected successfully!
2025-08-31 16:20:01,244 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-20 12:00:00_2022-07-21 02:00:00 has been selected successfully!
2025-08-31 16:20:01,245 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-21 09:00:00_2022-07-22 02:00:00 has been selected successfully!
2025-08-31 16:20:01,246 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-22 09:00:00_2022-07-23 02:00:00 has been selected successfully!
2025-08-31 16:20:01,247 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-23 10:00:00_2022-07-24 02:00:00 has been selected successfully!
2025-08-31 16:20:01,248 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-24 10:00:00_2022-07-25 02:00:00 has been selected successfully!
2025-08-31 16:20:01,249 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-25 10:00:00_2022-07-25 19:00:00 has been selected successfully!
2025-08-31 16:20:01,250 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-25 22:00:00_2022-07-26 01:00:00 has been selected successfully!
2025-08-31 16:20:01,251 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-26 11:00:00_2022-07-27 01:00:00 has been selected successfully!
2025-08-31 16:20:01,251 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-27 10:00:00_2022-07-28 01:00:00 has been selected successfully!
2025-08-31 16:20:01,252 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-28 09:00:00_2022-07-29 01:00:00 has been selected successfully!
2025-08-31 16:20:01,253 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-29 09:00:00_2022-07-29 12:00:00 has been selected successfully!
2025-08-31 16:20:01,254 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-29 13:00:00_2022-07-29 19:00:00 has been selected successfully!
2025-08-31 16:20:01,255 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-30 14:00:00_2022-07-30 19:00:00 has been selected successfully!
2025-08-31 16:20:01,256 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-30 23:00:00_2022-07-31 02:00:00 has been selected successfully!
2025-08-31 16:20:01,257 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-31 10:00:00_2022-08-01 00:00:00 has been selected successfully!
2025-08-31 16:20:01,258 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-01 20:00:00_2022-08-02 02:00:00 has been selected successfully!
2025-08-31 16:20:01,259 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-02 12:00:00_2022-08-02 18:00:00 has been selected successfully!
2025-08-31 16:20:01,260 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-02 20:00:00_2022-08-03 02:00:00 has been selected successfully!
2025-08-31 16:20:01,261 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-03 09:00:00_2022-08-03 12:00:00 has been selected successfully!
2025-08-31 16:20:01,261 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-03 13:00:00_2022-08-03 16:00:00 has been selected successfully!
2025-08-31 16:20:01,262 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-03 17:00:00_2022-08-04 02:00:00 has been selected successfully!
2025-08-31 16:20:01,263 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-04 12:00:00_2022-08-04 17:00:00 has been selected successfully!
2025-08-31 16:20:01,264 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-04 19:00:00_2022-08-05 02:00:00 has been selected successfully!
2025-08-31 16:20:01,265 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-05 12:00:00_2022-08-06 02:00:00 has been selected successfully!
2025-08-31 16:20:01,266 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-06 09:00:00_2022-08-06 14:00:00 has been selected successfully!
2025-08-31 16:20:01,267 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-06 15:00:00_2022-08-06 21:00:00 has been selected successfully!
2025-08-31 16:20:01,268 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-06 23:00:00_2022-08-07 02:00:00 has been selected successfully!
